binary,hardware,size,array_size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
slow,i7-13700,8,80000,2,21239.19,,,,,,113579086036.0,87550204.0,214101074.0,1422038.0,413563.0,3454.0
slow,i7-13700,8,80000,2,21201.02,84581280187.0,272037074503.0,825594648.0,1882616.0,42591.0,,,,,,
slow,i7-13700,8,80000,3,21232.9,,,,,,113566156167.0,87619675.0,214290456.0,1492601.0,485082.0,3996.0
slow,i7-13700,8,80000,3,21221.49,84662663512.0,272037534888.0,824699762.0,1253849.0,37821.0,,,,,,
slow,i7-13700,8,80000,4,21248.15,,,,,,113599850100.0,87623390.0,214247007.0,1458659.0,469096.0,4585.0
slow,i7-13700,8,80000,4,21186.83,84525289640.0,272041712797.0,825492504.0,1840869.0,40823.0,,,,,,
slow,i7-13700,8,80000,5,21239.3,,,,,,113554194240.0,87603781.0,214215623.0,1335592.0,440968.0,4302.0
slow,i7-13700,8,80000,5,21206.76,84606648452.0,272038434634.0,824963349.0,1524363.0,39490.0,,,,,,
slow,i7-13700,10,100000,1,33282.56,,,,,,177653739563.0,137435838.0,335885113.0,2076927.0,699010.0,6259.0
slow,i7-13700,10,100000,1,33205.42,132493932748.0,425522366442.0,1293049737.0,2369627.0,44881.0,,,,,,
slow,i7-13700,10,100000,2,33244.39,,,,,,177650939312.0,137677294.0,339571127.0,2555210.0,818027.0,5252.0
slow,i7-13700,10,100000,2,33204.46,132488260202.0,425522392606.0,1292374660.0,2441349.0,52881.0,,,,,,
slow,i7-13700,10,100000,3,33254.57,,,,,,177587891804.0,137718759.0,338195660.0,2330061.0,741139.0,5517.0
slow,i7-13700,10,100000,3,33335.66,133007620013.0,425528486044.0,1293172063.0,2948202.0,46972.0,,,,,,
slow,i7-13700,10,100000,4,33240.72,,,,,,177644735107.0,137847077.0,340015291.0,2746511.0,874695.0,6211.0
slow,i7-13700,10,100000,4,33379.36,133182550588.0,425527270714.0,1293193782.0,2443052.0,50998.0,,,,,,
slow,i7-13700,10,100000,5,33448.74,,,,,,177623709394.0,137656971.0,339753574.0,2754947.0,845195.0,5620.0
slow,i7-13700,10,100000,5,33250.24,132665165587.0,425526297571.0,1292515395.0,2127228.0,51133.0,,,,,,
slow,i7-7700,1,10000,1,497.86,,,,,,1777977075.0,907627.0,1924457.0,232072.0,19962.0,2213.0
slow,i7-7700,1,10000,1,490.13,1960210456.0,4252669683.0,12484738.0,290597.0,84121.0,,,,,,
slow,i7-7700,1,10000,2,476.72,,,,,,1777025575.0,1149527.0,2272893.0,295862.0,35173.0,210.0
slow,i7-7700,1,10000,2,472.64,1955107528.0,4252639025.0,12420827.0,277792.0,33485.0,,,,,,
